time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1671352862.28658819,0.00514864,0.00015729,0.00000273,12453.00000000,0.00203481,0.000000,0.000000
1671352862.38747263,0.00513980,0.00018052,0.00000285,12469.00000000,0.00226677,0.000000,0.000000
1671352862.48828030,0.00513235,0.00025388,0.00000322,12470.00000000,0.00270132,0.000000,0.000000
1671352862.58913326,0.00512426,0.00020704,0.00000272,12470.00000000,0.00247864,0.000000,0.000000
1671352862.69004869,0.00512011,0.00024194,0.00000398,12497.00000000,0.00375862,0.000000,0.000000
1671352862.79087734,0.00511288,0.00023938,0.00000284,12510.00000000,0.00273418,0.000000,0.000000
1671352862.89173245,0.00510616,0.00031625,0.00000296,12540.00000000,0.00288893,0.000000,0.000000
1671352862.99259901,0.00509924,0.00024023,0.00000333,12586.00000000,0.00280970,0.000000,0.000000
1671352863.09342933,0.00509214,0.00022504,0.00000347,12598.00000000,0.00273638,0.000000,0.000000
1671352863.19429731,0.00508674,0.00020660,0.00000429,12614.00000000,0.00328621,0.000000,0.000000
1671352863.29514742,0.00507991,0.00019841,0.00000369,12622.00000000,0.00280127,0.000000,0.000000
1671352863.39603329,0.00507128,0.00015757,0.00000293,12622.00000000,0.00217760,0.000000,0.000000
1671352863.49692535,0.00506275,0.00019578,0.00000296,12629.00000000,0.00219648,0.000000,0.000000
1671352863.59776115,0.00505399,0.00016076,0.00000282,12622.00000000,0.00210462,0.000000,0.000000
1671352863.69863534,0.00504586,0.00025317,0.00000298,12638.00000000,0.00229773,0.000000,0.000000
1671352863.79946423,0.00503811,0.00021502,0.00000302,12656.00000000,0.00240968,0.000000,0.000000
1671352863.90031862,0.00503171,0.00017195,0.00000403,12655.00000000,0.00285602,0.000000,0.000000
1671352864.00118256,0.00502767,0.00015201,0.00000261,12556.00000000,0.00365095,0.000000,0.000000
1671352864.10201168,0.00501961,0.00013016,0.00000299,12579.00000000,0.00226326,0.000000,0.000000
1671352864.20290375,0.00501025,0.00010284,0.00000266,12597.00000000,0.00179839,0.000000,0.000000
1671352864.30379105,0.00500147,0.00016865,0.00000296,12607.00000000,0.00197988,0.000000,0.000000
1671352864.40459132,0.00499352,0.00014309,0.00000309,12620.00000000,0.00225267,0.000000,0.000000
